[報牌] 虎斑法鬥 四星彩,1,Thu Jan  9 10:03:15 2025
[新聞] 大樂透春節加碼 加開480組百萬及...,2,Thu Jan  9 11:41:01 2025
[報牌] 蛇燦年發539,4,Thu Jan  9 16:39:19 2025
[報牌] 虎斑法鬥 39 二合,3,Fri Jan 10 06:34:21 2025
[報牌] 蛇燦年發539,1,Fri Jan 10 12:24:00 2025
[報牌] 哭北539 Gemini,4,Sat Jan 11 09:45:24 2025
[真相] 金蛇獎中1500+600,1,Sat Jan 11 10:08:17 2025
[報牌] 法鬥蛇燦年發539 二三合,2,Wed Jan 15 15:30:46 2025
[報牌] 虎斑法鬥 39 二合,2,Thu Jan 16 11:29:48 2025
[報牌] 蛇燦法鬥539 二三合,4,Thu Jan 16 15:05:12 2025
[報牌] 蛇燦年發539,8,Thu Jan 16 18:40:54 2025
Re: [閒聊] 刮刮樂機率分析彙整,2,Thu Jan 16 22:36:11 2025
[真相] 鈔票一把抓,9,Fri Jan 17 12:26:06 2025
Re: [討論] 2025發財預算,2,Fri Jan 17 13:51:50 2025
[報牌] 蛇燦年發539,4,Fri Jan 17 16:01:00 2025
[報牌] 老朋友539、34星,2,Fri Jan 17 19:12:02 2025
[真相] 2000整本 惡魔之本,1,Sat Jan 18 07:46:12 2025
[報牌] 蛇燦年發539,2,Sat Jan 18 15:53:17 2025
[真相] 539,9,Sun Jan 19 01:03:06 2025
[報牌] 蛇燦年發539,3,Tue Jan 21 17:45:18 2025
[報牌] 539老朋友、34星,3,Tue Jan 21 19:43:44 2025
Re: [討論] 賓果一星押很大有沒有搞頭,2,Tue Jan 21 22:03:52 2025
[報牌] 蛇燦年發539,1,Wed Jan 22 10:32:44 2025
[報牌] 蛇燦年發法鬥幸運39二三合,1,Wed Jan 22 15:22:17 2025
[報牌] 虎斑法鬥 39 二合,9,Thu Jan 23 06:28:59 2025
[報牌] 蛇燦年發法鬥539 二三合,3,Thu Jan 23 16:50:23 2025
[報牌] 蛇燦年發539,3,Thu Jan 23 18:35:07 2025
[報牌] 威力、三四星,1,Thu Jan 23 18:45:47 2025
[報牌] 蛇燦年發539,6,Fri Jan 24 15:20:57 2025
[報牌] 老朋友539、34星,5,Fri Jan 24 18:20:09 2025
[討論] Bingo戰績,1,Fri Jan 24 20:42:42 2025
[閒聊] 2000元頭獎被中一張了,9,Fri Jan 24 21:31:39 2025
[真相] 2000刮刮,5,Sat Jan 25 19:33:41 2025
[真相] 1000刮刮,4,Sat Jan 25 20:01:26 2025
Re: [閒聊] 玄,4,Sat Jan 25 20:42:48 2025
